,Fecha,Hora,Lectura Real,Lectura_prevista,Lectura_programada,Eolica,Nuclear,Fuel/Gas,Carbon,Ciclo Combinado,Hidraulica,Intercambios,Enlace Balear,Solar Fotovoltaica,Solar Termica,Termica Renovable,Cogeneracion y Residuos,Emisiones Carbon,Emisiones Ciclo Combinado,Emisiones Cogeneracion y Residuos
0,2021-11-07,00:00,24.214,24.306,23.319,11.891,5.933,,643,3.517,1.512,-3.190,-30,17,47,616,3.004,611,1.301,841
1,2021-11-07,00:10,24.224,24.041,23.319,11.805,5.931,,629,3.575,1.415,-2.875,-30,17,47,610,2.926,598,1.323,819
2,2021-11-07,00:20,24.153,23.778,23.319,11.842,5.938,,631,3.483,1.427,-2.928,-30,17,47,610,2.921,599,1.289,818
3,2021-11-07,00:30,23.541,23.518,23.319,11.863,5.931,,629,3.356,1.333,-3.330,-30,17,47,610,2.915,598,1.242,816
4,2021-11-07,00:40,23.544,23.260,23.319,11.828,5.933,,596,3.420,1.290,-3.282,-30,17,47,610,2.909,566,1.265,815
5,2021-11-07,00:50,23.082,23.005,23.319,11.773,5.939,,573,3.351,974,-3.287,-30,17,47,610,2.905,544,1.240,813
6,2021-11-07,01:00,22.787,22.752,22.073,11.795,5.941,,560,3.126,202,-2.597,-30,17,47,610,2.879,532,1.157,806
7,2021-11-07,01:10,22.622,22.511,22.073,11.805,5.935,,542,2.560,-522,-1.383,-30,17,47,602,2.827,515,947,792
8,2021-11-07,01:20,22.466,22.288,22.073,11.860,5.932,,530,2.770,-1.084,-1.226,-30,17,48,602,2.810,504,1.025,787
9,2021-11-07,01:30,22.349,22.083,22.073,11.843,5.939,,520,3.087,-1.572,-1.126,-30,17,47,602,2.822,494,1.142,790
10,2021-11-07,01:40,22.138,21.897,22.073,11.888,5.939,,497,3.084,-1.489,-1.465,-30,17,48,602,2.825,472,1.141,791
11,2021-11-07,01:50,21.987,21.729,22.073,11.872,5.936,,463,2.883,-1.627,-1.225,-30,16,48,602,2.807,440,1.067,786
12,2021-11-07,02:00,21.730,21.580,20.878,11.960,5.936,,352,2.879,-1.657,-1.425,-30,17,48,602,2.786,334,1.065,780
13,2021-11-07,02:10,21.132,21.444,20.878,12.021,5.935,,338,2.968,-1.859,-1.942,-30,17,48,605,2.777,321,1.098,778
14,2021-11-07,02:20,21.411,21.315,20.878,12.106,5.935,,341,2.790,-2.218,-1.214,-30,17,48,605,2.773,324,1.032,776
15,2021-11-07,02:30,21.433,21.194,20.878,12.125,5.947,,341,2.747,-2.025,-1.379,-30,17,48,605,2.769,324,1.016,775
16,2021-11-07,02:40,21.112,21.081,20.878,12.006,5.935,,321,2.563,-2.044,-1.286,-30,17,48,605,2.760,305,948,773
17,2021-11-07,02:50,21.146,20.975,20.878,11.953,5.939,,329,2.556,-2.125,-1.178,-30,17,48,605,2.773,313,946,776
18,2021-11-07,03:00,20.805,20.876,20.428,12.027,5.945,,309,2.546,-2.096,-1.583,-30,17,45,596,2.765,294,942,774
19,2021-11-07,03:10,20.600,20.783,20.428,12.177,5.939,,297,2.509,-2.233,-1.712,-30,17,47,591,2.735,282,928,766
20,2021-11-07,03:20,20.647,20.691,20.428,12.186,5.934,,304,2.542,-2.318,-1.617,-30,17,48,591,2.725,289,941,763
21,2021-11-07,03:30,20.738,20.603,20.428,12.138,5.941,,299,2.552,-2.333,-1.500,-30,16,48,591,2.726,284,944,763
22,2021-11-07,03:40,20.492,20.517,20.428,12.228,5.936,,300,2.582,-2.476,-1.701,-30,16,47,591,2.726,285,955,763
23,2021-11-07,03:50,20.679,20.433,20.428,12.284,5.936,,299,2.492,-2.502,-1.489,-30,17,47,591,2.720,284,922,762
24,2021-11-07,04:00,20.565,20.352,20.075,12.266,5.943,,301,2.396,-2.504,-1.474,-30,17,41,576,2.733,286,887,765
25,2021-11-07,04:10,20.497,20.281,20.075,12.002,5.937,,318,2.744,-2.511,-1.593,-30,17,34,591,2.746,302,1.015,769
26,2021-11-07,04:20,20.564,20.229,20.075,11.958,5.934,,313,2.915,-2.450,-1.692,-30,17,20,591,2.748,297,1.079,769
27,2021-11-07,04:30,20.321,20.196,20.075,11.866,5.937,,313,2.832,-2.449,-1.764,-30,17,20,591,2.732,297,1.048,765
28,2021-11-07,04:40,20.467,20.181,20.075,11.853,5.946,,314,2.816,-2.452,-1.597,-30,17,20,591,2.727,298,1.042,764
29,2021-11-07,04:50,20.396,20.184,20.075,11.821,5.943,,306,2.805,-2.462,-1.629,-30,17,19,591,2.729,291,1.038,764
30,2021-11-07,05:00,20.536,20.207,20.037,11.719,5.940,,315,2.912,-2.502,-1.409,-30,17,18,575,2.739,299,1.077,767
31,2021-11-07,05:10,20.650,20.241,20.037,11.740,5.936,,309,2.936,-2.373,-1.484,-30,17,19,593,2.749,294,1.086,770
32,2021-11-07,05:20,20.355,20.280,20.037,11.669,5.944,,307,2.933,-2.350,-1.651,-30,17,19,593,2.733,292,1.085,765
33,2021-11-07,05:30,20.213,20.325,20.037,11.511,5.935,,303,2.870,-2.347,-1.604,-30,17,19,593,2.749,288,1.062,770
34,2021-11-07,05:40,20.532,20.374,20.037,11.311,5.941,,308,3.206,-2.330,-1.490,-30,16,19,593,2.755,293,1.186,771
35,2021-11-07,05:50,20.299,20.429,20.037,11.427,5.940,,308,3.197,-2.339,-1.821,-30,16,19,593,2.757,293,1.183,772
36,2021-11-07,06:00,20.486,20.489,20.777,11.290,5.947,,304,3.050,-2.268,-1.400,-30,16,19,577,2.758,289,1.129,772
37,2021-11-07,06:10,20.964,20.561,20.777,11.283,5.934,,301,3.311,-2.313,-1.128,-30,16,20,593,2.755,286,1.225,771
38,2021-11-07,06:20,20.889,20.652,20.777,11.332,5.936,,303,3.211,-2.308,-1.160,-30,16,20,593,2.744,288,1.188,768
39,2021-11-07,06:30,21.161,20.761,20.777,11.285,5.943,,313,3.550,-2.270,-1.237,-30,16,20,593,2.753,297,1.314,771
40,2021-11-07,06:40,21.195,20.888,20.777,11.290,5.939,,308,3.688,-2.292,-1.314,-30,16,20,593,2.755,293,1.365,771
41,2021-11-07,06:50,21.170,21.034,20.777,11.374,5.938,,303,3.633,-2.292,-1.361,-30,16,20,593,2.749,288,1.344,770
42,2021-11-07,07:00,21.163,21.199,21.131,11.461,5.936,,299,3.568,-2.278,-1.393,-30,16,20,577,2.742,284,1.320,768
43,2021-11-07,07:10,21.131,21.356,21.131,11.418,5.937,,301,3.128,-2.368,-891,-30,43,20,595,2.738,286,1.157,767
44,2021-11-07,07:20,21.497,21.479,21.131,11.268,5.953,,314,3.216,-2.232,-627,-30,43,20,595,2.735,298,1.190,766
45,2021-11-07,07:30,21.205,21.567,21.131,11.392,5.952,,306,3.137,-2.165,-1.021,-30,43,19,595,2.732,291,1.161,765
46,2021-11-07,07:40,21.628,21.622,21.131,11.575,5.941,,300,3.067,-2.268,-586,-30,45,19,595,2.730,285,1.135,764
47,2021-11-07,07:50,21.176,21.643,21.131,11.833,5.941,,300,2.987,-2.296,-1.221,-30,71,19,595,2.737,285,1.105,766
