,Fecha,Hora,Lectura Real,Lectura_prevista,Lectura_programada,Eolica,Nuclear,Fuel/Gas,Carbon,Ciclo Combinado,Hidraulica,Intercambios,Enlace Balear,Solar Fotovoltaica,Solar Termica,Termica Renovable,Cogeneracion y Residuos,Emisiones Carbon,Emisiones Ciclo Combinado,Emisiones Cogeneracion y Residuos
0,2021-11-03,00:00,23.962,24.424,23.846,,,,,,,,,,,,,649,2.009,898
1,2021-11-03,00:10,24.786,24.229,23.846,,,,,,,,,,,,,637,1.761,889
2,2021-11-03,00:20,24.465,24.035,23.846,,,,,,,,,,,,,632,1.664,886
3,2021-11-03,00:30,24.462,23.844,23.846,,,,,,,,,,,,,634,1.702,889
4,2021-11-03,00:40,24.038,23.655,23.846,,,,,,,,,,,,,642,1.703,882
5,2021-11-03,00:50,23.687,23.469,23.846,,,,,,,,,,,,,639,1.684,880
6,2021-11-03,01:00,23.518,23.284,22.850,,,,,,,,,,,,,640,1.683,880
7,2021-11-03,01:10,23.226,23.109,22.850,,,,,,,,,,,,,609,1.732,879
8,2021-11-03,01:20,23.141,22.947,22.850,,,,,,,,,,,,,614,1.674,877
9,2021-11-03,01:30,23.074,22.799,22.850,,,,,,,,,,,,,621,1.662,878
10,2021-11-03,01:40,22.906,22.666,22.850,,,,,,,,,,,,,609,1.674,881
11,2021-11-03,01:50,22.657,22.547,22.850,,,,,,,,,,,,,604,1.617,881
12,2021-11-03,02:00,22.695,22.442,22.131,,,,,,,,,,,,,581,1.607,878
13,2021-11-03,02:10,22.235,22.346,22.131,,,,,,,,,,,,,541,1.555,875
14,2021-11-03,02:20,22.220,22.253,22.131,,,,,,,,,,,,,533,1.498,876
15,2021-11-03,02:30,22.162,22.165,22.131,,,,,,,,,,,,,541,1.504,878
16,2021-11-03,02:40,21.929,22.080,22.131,,,,,,,,,,,,,536,1.482,878
17,2021-11-03,02:50,22.127,21.999,22.131,,,,,,,,,,,,,534,1.463,878
18,2021-11-03,03:00,22.094,21.922,21.573,,,,,,,,,,,,,517,1.507,877
19,2021-11-03,03:10,21.708,21.858,21.573,,,,,,,,,,,,,523,1.534,873
20,2021-11-03,03:20,21.929,21.816,21.573,,,,,,,,,,,,,508,1.595,872
21,2021-11-03,03:30,21.801,21.797,21.573,,,,,,,,,,,,,508,1.573,870
22,2021-11-03,03:40,22.090,21.800,21.573,,,,,,,,,,,,,516,1.655,869
23,2021-11-03,03:50,21.817,21.825,21.573,,,,,,,,,,,,,517,1.587,869
24,2021-11-03,04:00,22.017,21.873,21.548,,,,,,,,,,,,,561,1.687,870
25,2021-11-03,04:10,21.836,21.926,21.548,,,,,,,,,,,,,597,1.775,870
26,2021-11-03,04:20,21.958,21.968,21.548,,,,,,,,,,,,,624,1.783,865
27,2021-11-03,04:30,21.689,22.000,21.548,,,,,,,,,,,,,613,1.769,870
28,2021-11-03,04:40,21.851,22.020,21.548,,,,,,,,,,,,,618,1.748,870
29,2021-11-03,04:50,21.734,22.030,21.548,,,,,,,,,,,,,608,1.667,868
30,2021-11-03,05:00,22.105,22.029,22.492,,,,,,,,,,,,,651,1.800,870
31,2021-11-03,05:10,22.042,22.060,22.492,,,,,,,,,,,,,639,1.703,864
32,2021-11-03,05:20,22.210,22.167,22.492,,,,,,,,,,,,,625,1.644,869
33,2021-11-03,05:30,22.170,22.349,22.492,,,,,,,,,,,,,656,1.645,869
34,2021-11-03,05:40,22.344,22.608,22.492,,,,,,,,,,,,,658,1.637,871
35,2021-11-03,05:50,22.714,22.943,22.492,,,,,,,,,,,,,650,1.701,873
36,2021-11-03,06:00,22.967,23.354,24.518,,,,,,,,,,,,,679,1.771,876
37,2021-11-03,06:10,23.775,23.808,24.518,,,,,,,,,,,,,686,1.799,873
38,2021-11-03,06:20,24.226,24.271,24.518,,,,,,,,,,,,,682,1.880,870
39,2021-11-03,06:30,24.253,24.744,24.518,,,,,,,,,,,,,684,1.910,872
40,2021-11-03,06:40,24.883,25.227,24.518,,,,,,,,,,,,,686,2.106,871
41,2021-11-03,06:50,25.472,25.720,24.518,,,,,,,,,,,,,694,2.159,876
42,2021-11-03,07:00,26.157,26.224,27.820,,,,,,,,,,,,,713,2.187,874
43,2021-11-03,07:10,27.279,26.716,27.820,,,,,,,,,,,,,731,2.121,860
44,2021-11-03,07:20,27.834,27.178,27.820,,,,,,,,,,,,,737,2.179,857
45,2021-11-03,07:30,28.063,27.608,27.820,,,,,,,,,,,,,753,2.198,863
46,2021-11-03,07:40,28.185,28.008,27.820,,,,,,,,,,,,,770,2.208,867
47,2021-11-03,07:50,28.218,28.377,27.820,,,,,,,,,,,,,772,2.192,872
48,2021-11-03,08:00,28.304,28.716,29.433,,,,,,,,,,,,,790,2.230,869
49,2021-11-03,08:10,28.767,29.017,29.433,,,,,,,,,,,,,796,2.313,874
50,2021-11-03,08:20,29.165,29.276,29.433,,,,,,,,,,,,,797,2.326,864
51,2021-11-03,08:30,29.242,29.491,29.433,,,,,,,,,,,,,799,2.290,870
52,2021-11-03,08:40,29.605,29.665,29.433,,,,,,,,,,,,,799,2.214,864
53,2021-11-03,08:50,29.651,29.795,29.433,,,,,,,,,,,,,797,2.184,867
54,2021-11-03,09:00,29.581,29.883,29.764,,,,,,,,,,,,,790,2.211,855
55,2021-11-03,09:10,29.838,29.946,29.764,,,,,,,,,,,,,788,2.301,860
56,2021-11-03,09:20,29.896,30.001,29.764,,,,,,,,,,,,,787,2.295,865
57,2021-11-03,09:30,29.878,30.049,29.764,,,,,,,,,,,,,777,2.235,863
58,2021-11-03,09:40,29.819,30.090,29.764,,,,,,,,,,,,,770,2.038,866
59,2021-11-03,09:50,30.172,30.124,29.764,,,,,,,,,,,,,762,2.041,867
60,2021-11-03,10:00,29.962,30.151,29.666,,,,,,,,,,,,,762,1.951,865
61,2021-11-03,10:10,30.014,30.173,29.666,,,,,,,,,,,,,757,2.160,860
